name,artist,track_id,instrumentalness,danceability,energy,liveness,loudness,acousticness,valence,speechiness,tempo,key,time_signature,length,popularity,mood,mood_map,cluster
Stupify,Disturbed,54cWVWqgyFukgDKQYmaKM3,9.77e-05,0.597,0.939,0.201,-3.0010000000000003,0.00108,0.422,0.0446,98.0,1,4,274000,61,Energetic,2,2
Such Great Heights,Iron & Wine,7vcuTZAFyu0Z5dgMRLR0h0,0.913,0.61,0.275,0.403,-10.644,0.8079999999999999,0.552,0.028,94.088,6,4,251280,0,Sad,0,1
Suds & Soda,dEUS,0MaUnKwsHKRj4qjLDuBG66,0.000248,0.149,0.79,0.0903,-7.93,8.51e-05,0.39,0.052,170.28900000000004,4,4,314200,42,Energetic,2,2
Suhpratti,Parazal,4A6C6K8c8IukPda2f0rI8J,0.765,0.564,0.0515,0.114,-15.118,0.974,0.214,0.0338,93.961,11,4,186542,38,Chill,1,1
Summer Boredom,Ella van der Woude,1B96GJer0xmo0t9rZg5V4c,0.951,0.496,0.0281,0.0813,-24.864,0.994,0.157,0.0372,72.124,2,3,150031,29,Chill,1,1
Summer-Blink,Cocteau Twins,66epoq09V61hukB4Sdm3Q4,0.0,0.491,0.599,0.166,-6.7410000000000005,0.168,0.189,0.0274,80.048,5,4,189653,22,Sad,0,2
Sun In Our Eyes - Don Diablo Remix,MØ,1Cfws8y490Zpsqsyeme6V1,2.64e-06,0.6990000000000001,0.861,0.0794,-3.09,0.0589,0.315,0.173,125.942,4,3,206452,55,Energetic,2,2
Sunspots,Bodywash,2yNeqUczAqpKSo8vFF00CR,0.125,0.379,0.499,0.077,-13.923,0.00565,0.335,0.0411,155.993,4,4,283230,7,Sad,0,2
Supermarket,Manuela,2K1OMOjqHBoJf3NT4J6meQ,0.0564,0.588,0.352,0.126,-9.624,0.812,0.655,0.0403,146.718,10,4,224727,17,Sad,0,0
Supersonic (feat. Christian Burns),Swanky Tunes,2d0UsAbvuAiCyR4oV6fiOq,0.0008289999999999,0.34,0.923,0.385,-3.864,0.00814,0.13,0.131,127.789,0,4,245783,52,Energetic,2,2
Superstition,Stevie Wonder,4dwrL3Z5U2RZ6MZiKE2PgL,0.000401,0.648,0.7509999999999999,0.0418,-8.582,0.0182,0.863,0.0806,100.437,8,4,244826,1,Energetic,2,2
